Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10002,Lim,Antonio,06/19/1988,"N/A",N/A,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,N/A,"60000","1500","2000","1000","0",357.14
10003,Aquino,Bianca Sofia,08/04/1989,"N/A",N/A,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,N/A,"60000","1500","2000","1000","0",357.14
10004,Reyes,Isabella,06/16/1994,"N/A",N/A,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,N/A,"60000","1500","2000","1000","0",357.14
10005,Hernandez,Eduard,09/23/1989,"N/A",N/A,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,N/A,"52670","1500","1000","1000","0",313.51
10006,Villanueva,Andrea Mae,02/14/1988,"N/A",N/A,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,N/A,"52670","1500","1000","1000","0",313.51
10007,San Jose,Brad,03/15/1996,"N/A",N/A,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,N/A,"42975","1500","800","800","0",255.80
10008,Romualdez,Alice,05/14/1992,"N/A",N/A,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,N/A,"22500","1500","500","500","0",133.93
10009,Atienza,Rosie,09/24/1948,"N/A",N/A,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,N/A,"22500","1500","500","500","0",133.93
10010,Alvaro,Roderick,03/30/1988,"N/A",N/A,64-7605054-4,578114853194,525-420-419-000,799254095212,Regular,Accounting Head,N/A,"52670","1500","1000","1000","0",313.51
10011,Salcedo,Anthony,09/14/1993,"N/A",N/A,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,N/A,"50825","1500","1000","1000","0",302.53
10012,Lopez,Josie,01/14/1987,"N/A",N/A,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,N/A,"38475","1500","800","800","0",229.02
10013,Farala,Martha,01/11/1942,"N/A",N/A,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,N/A,"24000","1500","500","500","0",142.86
10014,Martinez,Leila,07/11/1970,"N/A",N/A,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,N/A,"24000","1500","500","500","0",142.86
10015,Romualdez,Fredrick,03/10/1985,"N/A",N/A,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,N/A,"53500","1500","1000","1000","0",318.45
10016,Mata,Christian,10/21/1987,"N/A",N/A,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,N/A,"42975","1500","800","800","0",255.80
10017,De Leon,Selena,02/20/1975,"N/A",N/A,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,N/A,"41850","1500","800","800","0",249.11
10018,San Jose,Allison,06/24/1986,"N/A",N/A,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,N/A,"22500","1500","500","500","0",133.93
10019,Rosario,Cydney,10/06/1996,"N/A",N/A,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,N/A,"22500","1500","500","500","0",133.93
10020,Bautista,Mark,02/12/1991,"N/A",N/A,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,N/A,"23250","1500","500","500","0",138.39
10021,Lazaro,Darlene,11/25/1985,"N/A",N/A,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,N/A,"23250","1500","500","500","0",138.39
10022,Delos Santos,Kolby,02/26/1980,"N/A",N/A,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,N/A,"24000","1500","500","500","0",142.86
10023,Santos,Vella,12/31/1983,"N/A",N/A,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,N/A,"22500","1500","500","500","0",133.93
10024,Del Rosario,Tomas,12/18/1978,"N/A",N/A,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,N/A,"22500","1500","500","500","0",133.93
10025,Tolentino,Jacklyn,05/19/1984,"N/A",N/A,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,N/A,"24000","1500","500","500","0",142.86
10026,Gutierrez,Percival,12/18/1970,"N/A",N/A,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,N/A,"24750","1500","500","500","0",147.32
